Error,Count,Bits
NoSpaceLeft,0,null
EndOfStream,3928,null
BadGzipHeader,0,null
BadZlibHeader,0,null
WrongGzipChecksum,0,null
WrongGzipSize,0,null
WrongZlibChecksum,0,null
InvalidCode,26438043,null
OversubscribedHuffmanTree,146011334,null
IncompleteHuffmanTree,74024330,null
MissingEndOfBlockCode,95816,null
InvalidMatch,214744118,null
InvalidBlockType,251254609,null
WrongStoredBlockNlen,251255219,null
InvalidDynamicBlockHeader,31141638,null
Successes,5030965,null
NoSpaceLeft,0,0
EndOfStream,15186,0
BadGzipHeader,0,0
BadZlibHeader,0,0
WrongGzipChecksum,0,0
WrongGzipSize,0,0
WrongZlibChecksum,0,0
InvalidCode,1,0
OversubscribedHuffmanTree,3,0
IncompleteHuffmanTree,0,0
MissingEndOfBlockCode,0,0
InvalidMatch,10,0
InvalidBlockType,7,0
WrongStoredBlockNlen,999984792,0
InvalidDynamicBlockHeader,1,0
Successes,0,0
NoSpaceLeft,0,1
EndOfStream,15274,1
BadGzipHeader,0,1
BadZlibHeader,0,1
WrongGzipChecksum,0,1
WrongGzipSize,0,1
WrongZlibChecksum,0,1
InvalidCode,0,1
OversubscribedHuffmanTree,0,1
IncompleteHuffmanTree,0,1
MissingEndOfBlockCode,0,1
InvalidMatch,0,1
InvalidBlockType,0,1
WrongStoredBlockNlen,999984702,1
InvalidDynamicBlockHeader,0,1
Successes,24,1
NoSpaceLeft,0,2
EndOfStream,935,2
BadGzipHeader,0,2
BadZlibHeader,0,2
WrongGzipChecksum,0,2
WrongGzipSize,0,2
WrongZlibChecksum,0,2
InvalidCode,106311164,2
OversubscribedHuffmanTree,5851923,2
IncompleteHuffmanTree,2968141,2
MissingEndOfBlockCode,3795,2
InvalidMatch,863249597,2
InvalidBlockType,10073867,2
WrongStoredBlockNlen,10068567,2
InvalidDynamicBlockHeader,1246453,2
Successes,225558,2
NoSpaceLeft,0,3
EndOfStream,570,3
BadGzipHeader,0,3
BadZlibHeader,0,3
WrongGzipChecksum,0,3
WrongGzipSize,0,3
WrongZlibChecksum,0,3
InvalidCode,105125696,3
OversubscribedHuffmanTree,0,3
IncompleteHuffmanTree,0,3
MissingEndOfBlockCode,0,3
InvalidMatch,854818467,3
InvalidBlockType,0,3
WrongStoredBlockNlen,0,3
InvalidDynamicBlockHeader,0,3
Successes,40055267,3
NoSpaceLeft,0,4
EndOfStream,221,4
BadGzipHeader,0,4
BadZlibHeader,0,4
WrongGzipChecksum,0,4
WrongGzipSize,0,4
WrongZlibChecksum,0,4
InvalidCode,15360,4
OversubscribedHuffmanTree,581083659,4
IncompleteHuffmanTree,294583619,4
MissingEndOfBlockCode,381352,4
InvalidMatch,0,4
InvalidBlockType,0,4
WrongStoredBlockNlen,0,4
InvalidDynamicBlockHeader,123935789,4
Successes,0,4
NoSpaceLeft,0,5
EndOfStream,233,5
BadGzipHeader,0,5
BadZlibHeader,0,5
WrongGzipChecksum,0,5
WrongGzipSize,0,5
WrongZlibChecksum,0,5
InvalidCode,15254,5
OversubscribedHuffmanTree,581086654,5
IncompleteHuffmanTree,294586455,5
MissingEndOfBlockCode,380197,5
InvalidMatch,0,5
InvalidBlockType,0,5
WrongStoredBlockNlen,0,5
InvalidDynamicBlockHeader,123931207,5
Successes,0,5
NoSpaceLeft,0,6
EndOfStream,0,6
BadGzipHeader,0,6
BadZlibHeader,0,6
WrongGzipChecksum,0,6
WrongGzipSize,0,6
WrongZlibChecksum,0,6
InvalidCode,0,6
OversubscribedHuffmanTree,0,6
IncompleteHuffmanTree,0,6
MissingEndOfBlockCode,0,6
InvalidMatch,0,6
InvalidBlockType,1000000000,6
WrongStoredBlockNlen,0,6
InvalidDynamicBlockHeader,0,6
Successes,0,6
NoSpaceLeft,0,7
EndOfStream,0,7
BadGzipHeader,0,7
BadZlibHeader,0,7
WrongGzipChecksum,0,7
WrongGzipSize,0,7
WrongZlibChecksum,0,7
InvalidCode,0,7
OversubscribedHuffmanTree,0,7
IncompleteHuffmanTree,0,7
MissingEndOfBlockCode,0,7
InvalidMatch,0,7
InvalidBlockType,1000000000,7
WrongStoredBlockNlen,0,7
InvalidDynamicBlockHeader,0,7
Successes,0,7
